timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1533391200,Aug 04 2018 - 2:00pm,complete,3151,Bury,Yeovil Town,Dean Whitestone,1,0.00,0.00,2.09,0.83,1,0,1,0,0,0,"89","",11,5,0,0,1,2,0,0,1,2,11,6,5,2,6,4,12,10,60,40,0.00,0.00,1.30,0.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.62,4.08,1.27,1.87,3.20,6.50,1.83,1.95,Gigg Lane
1533391200,Aug 04 2018 - 2:00pm,complete,2719,Cheltenham Town,Crawley Town,Thomas Bramall,1,0.00,0.00,1.61,0.78,0,1,1,0,0,0,"","63",1,6,1,0,0,0,1,0,0,0,14,16,5,12,9,4,17,8,49,51,0.00,0.00,1.48,2.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.21,3.48,3.29,1.28,1.87,3.20,6.50,1.80,2.00,Jonny-Rocks Stadium
1533391200,Aug 04 2018 - 2:00pm,complete,3559,Crewe Alexandra,Morecambe,Alan Young,1,0.00,0.00,2.04,1.09,6,0,6,2,2,0,"6,10,63,72,87,90'1","",4,2,1,0,2,0,0,1,0,2,15,7,9,2,6,5,14,11,55,45,0.00,0.00,1.94,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.47,3.74,1.29,1.91,3.30,7.00,1.83,2.00,Alexandria Stadium
1533391200,Aug 04 2018 - 2:00pm,complete,4266,Exeter City,Carlisle United,Graham Salisbury,1,0.00,0.00,1.70,1.26,3,1,4,3,2,1,"16,26,90'3","37",3,7,2,0,0,0,1,1,0,0,17,12,7,7,10,5,11,14,47,53,0.00,0.00,1.91,1.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.51,3.71,1.29,1.95,3.35,6.50,1.83,2.00,St. James' Park
1533391200,Aug 04 2018 - 2:00pm,complete,5879,Grimsby Town,Forest Green Rovers,Martin Coy,1,0.00,0.00,1.61,1.71,1,4,5,1,1,0,"31","51,67,70,83",4,1,1,0,1,0,1,0,1,0,11,17,5,10,6,7,14,9,45,55,0.00,0.00,1.30,2.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.50,3.44,1.38,2.20,4.10,8.00,2.00,1.83,Blundell Park
1533391200,Aug 04 2018 - 2:00pm,complete,4423,Mansfield Town,Newport County,Paul Marsden,1,0.00,0.00,2.00,1.00,3,0,3,1,1,0,"12,56,64","",2,4,1,0,0,0,1,0,0,0,11,12,6,6,5,6,11,12,46,54,0.00,0.00,1.49,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.04,3.48,3.77,1.33,2.00,3.65,8.00,1.95,1.87,One Call Stadium
1533391200,Aug 04 2018 - 2:00pm,complete,6242,Northampton Town,Lincoln City,Lee Swabey,1,0.00,0.00,1.43,1.83,0,1,1,0,0,0,"","48",6,1,0,0,2,0,0,0,1,1,18,5,10,2,8,3,11,14,60,40,0.00,0.00,2.23,0.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.45,3.41,1.34,2.05,3.75,7.50,1.91,1.91,Sixfields Stadium
1533391200,Aug 04 2018 - 2:00pm,complete,7136,Notts County,Colchester United,Seb Stockbridge,1,0.00,0.00,1.04,1.30,0,0,0,0,0,0,"","",8,8,4,0,2,0,2,2,0,2,9,8,5,3,4,5,8,6,59,41,0.00,0.00,1.30,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.61,4.47,1.34,2.05,3.70,8.00,1.91,1.91,Meadow Lane Stadium
1533391200,Aug 04 2018 - 2:00pm,complete,4764,Oldham Athletic,Milton Keynes Dons,Neil Hair,1,0.00,0.00,1.57,1.39,1,2,3,3,1,2,"41","9,22",10,4,1,0,1,0,0,1,0,1,16,12,8,6,8,6,13,9,57,43,0.00,0.00,1.87,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.41,2.98,1.30,1.95,3.40,7.00,1.83,2.00,Boundary Park
1533391200,Aug 04 2018 - 2:00pm,complete,5559,Port Vale,Cambridge United,Trevor Kettle,1,0.00,0.00,1.04,0.83,3,0,3,1,1,0,"45'2,47,69","",3,7,1,0,2,0,1,0,1,1,12,8,7,3,5,5,12,7,47,53,0.00,0.00,1.55,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.37,3.03,1.37,2.15,3.95,8.00,1.95,1.87,Vale Park
