timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1535643600,Aug 30 2018 - 3:40pm,complete,N/A,Al Ittifaq,Al Raed,Simon Evans,1,0.00,0.00,1.67,1.40,1,1,2,1,1,0,"4","89",4,11,4,0,1,0,2,2,1,0,9,10,6,5,3,5,12,10,44,56,0.00,0.00,1.30,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.55,3.15,1.16,1.54,2.35,0.00,1.54,2.40,Prince Mohamed bin Fahd Stadium
1535645100,Aug 30 2018 - 4:05pm,complete,N/A,Al Hazm,Al Wahda,Tobias Welz,17,0.00,0.00,1.27,1.13,0,0,0,0,0,0,"","",3,6,2,0,0,0,1,1,0,0,18,18,7,7,11,11,11,9,50,50,0.00,0.00,2.02,2.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1535645700,Aug 30 2018 - 4:15pm,complete,N/A,Ohod,Al Nassr,N/A,1,0.00,0.00,0.93,2.27,1,2,3,2,1,1,"14","12,90'6",-1,-1,2,0,2,0,0,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.95,4.55,1.35,1.16,1.56,2.40,0.00,1.83,1.91,Prince Mohammed bin Abdul Aziz Stadium
1535730000,Aug 31 2018 - 3:40pm,complete,N/A,Al Quadisiya,Al Fateh,N/A,1,0.00,0.00,1.20,0.87,0,0,0,0,0,0,"","",12,4,-1,-1,-1,-1,-1,-1,-1,-1,7,12,3,8,4,4,-1,-1,50,50,0.00,0.00,1.08,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.20,2.50,1.24,1.80,3.00,0.00,1.71,2.10,Prince Abdullah bin Jalawi Sports City Stadium
1535730900,Aug 31 2018 - 3:55pm,complete,N/A,Al Hilal,Al Feiha,Szymon Marciniak,1,0.00,0.00,2.07,0.73,1,0,1,0,0,0,"77","",8,3,4,1,3,2,2,3,1,4,15,7,4,2,11,5,-1,-1,50,50,0.00,0.00,1.86,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.23,5.55,9.75,1.13,1.49,2.25,0.00,1.95,1.80,King Saud University Stadium
1535730900,Aug 31 2018 - 3:55pm,complete,N/A,Al Shabab,Al Ittihad,Damir Skomina,1,0.00,0.00,1.87,1.13,1,0,1,0,0,0,"79","",4,3,0,0,1,0,0,0,0,1,12,10,6,7,6,3,13,16,51,49,0.00,0.00,1.53,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.85,3.55,1.80,1.21,1.69,2.75,0.00,1.71,2.10,Prince Faisal bin Fahd Stadium
1535731200,Aug 31 2018 - 4:00pm,complete,N/A,Al Faisaly,Al Batin,N/A,1,0.00,0.00,1.73,0.67,2,2,4,2,2,0,"29,41","56,90'5",7,4,1,0,3,0,0,1,0,3,12,6,8,3,4,3,-1,-1,50,50,0.00,0.00,1.75,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.30,3.25,1.25,1.83,3.10,0.00,1.77,2.05,King Salman bin Abdulaziz Sport City Stadium
1535818800,Sep 01 2018 - 4:20pm,complete,N/A,Al Ahli,Al Taawon,N/A,1,0.00,0.00,1.60,1.47,1,1,2,1,0,1,"49","24",10,3,2,0,3,0,1,1,0,3,16,7,9,5,7,2,-1,-1,60,40,0.00,0.00,2.48,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.30,5.30,1.12,1.44,2.15,0.00,1.61,2.25,King Abdullah Sports City
1536852300,Sep 13 2018 - 3:25pm,complete,N/A,Al Ittifaq,Al Batin,Mark Clattenburg,16,1.00,1.00,1.67,0.67,3,2,5,1,1,0,"44,68,81","74,90'4",2,11,3,0,2,0,1,2,0,2,9,10,5,7,4,3,11,14,50,50,1.30,1.03,0.00,0.00,3.00,100,100,50,50,0,50,100,50,100,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Mohamed bin Fahd Stadium
1536852600,Sep 13 2018 - 3:30pm,complete,1146,Al Fateh,Al Wahda,Anastasios Sidiropoulos,2,0.00,1.00,1.47,1.13,0,0,0,0,0,0,"","",6,5,2,0,3,0,0,2,1,2,16,18,6,5,10,13,14,10,39,61,0.00,2.06,2.02,2.32,0.00,0,0,0,0,0,0,0,0,0,6.00,0.00,2.65,3.30,2.40,1.22,1.71,2.85,4.50,1.67,2.15,Prince Abdullah bin Jalawi Sports City Stadium
1536853800,Sep 13 2018 - 3:50pm,complete,N/A,Al Hazm,Al Taawon,Ivan Bebek,2,1.00,1.00,1.27,1.47,1,1,2,0,0,0,"59","69",3,7,4,0,3,0,2,2,2,1,18,13,10,8,8,5,11,18,39,61,2.02,1.09,2.49,1.81,1.00,50,50,0,0,0,0,50,0,50,6.00,5.00,2.90,3.50,2.15,1.17,1.57,2.45,0.00,1.57,2.35,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1536939600,Sep 14 2018 - 3:40pm,complete,N/A,Al Nassr,Al Faisaly,Viktor Kassai,2,0.00,0.00,2.40,1.13,2,1,3,2,1,1,"19,63","27",10,4,2,0,3,1,0,2,1,3,16,7,6,5,10,2,16,13,57,43,0.00,0.00,2.14,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.41,4.45,5.90,1.16,1.54,2.35,0.00,1.77,2.05,Prince Faisal bin Fahd Stadium
1536939900,Sep 14 2018 - 3:45pm,complete,N/A,Al Feiha,Al Shabab,Simon Evans,2,0.00,0.00,1.40,1.73,1,3,4,0,0,0,"47","60,79,90'6",3,4,2,0,4,0,0,2,0,4,8,12,3,7,5,5,20,15,45,55,0.00,0.00,1.23,1.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,3.25,2.50,1.24,1.80,3.00,5.00,1.71,2.10,King Salman bin Abdulaziz Sport City Stadium
