timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1534528800,Aug 17 2018 - 6:00pm,complete,2757,Volendam,Den Bosch,Ingmar Oostrom,1,0.00,0.00,1.21,1.47,1,2,3,1,1,0,"21","48,79",13,7,2,0,2,0,0,2,0,2,8,13,5,8,3,5,10,17,60,40,0.00,0.00,1.48,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.90,3.41,1.18,1.61,2.50,4.05,1.62,2.30,Kras Stadion
1534528800,Aug 17 2018 - 6:00pm,complete,2445,Dordrecht,Helmond Sport,Sander van der Eijk,1,0.00,0.00,0.89,0.32,0,0,0,0,0,0,"","",12,2,1,0,2,0,1,0,1,1,22,7,9,2,13,5,11,13,62,38,0.00,0.00,2.83,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.13,3.81,3.28,1.18,1.59,2.50,4.50,1.57,2.40,Riwal Hoogwerkers Stadion
1534528800,Aug 17 2018 - 6:00pm,complete,2448,RKC Waalwijk,Telstar,Laurens Gerrets,1,0.00,0.00,1.63,1.16,1,0,1,1,1,0,"25","",5,7,2,0,4,0,0,2,2,2,9,10,5,6,4,4,18,13,49,51,0.00,0.00,1.24,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.12,3.95,3.21,1.19,1.62,2.55,4.90,1.59,2.40,Mandemakers Stadion
1534528800,Aug 17 2018 - 6:00pm,complete,4714,MVV,Oss,Stan Teuben,1,0.00,0.00,1.26,1.63,0,2,2,0,0,0,"","56,90'1",3,2,3,0,1,0,1,2,0,1,12,13,4,6,8,7,13,19,61,39,0.00,0.00,1.40,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.79,3.75,3.75,1.11,1.44,2.19,3.62,1.36,3.10,De Geusselt
1534528800,Aug 17 2018 - 6:00pm,complete,7812,Go Ahead Eagles,Utrecht II,Martin Perez,1,0.00,0.00,1.89,0.37,5,0,5,2,2,0,"22,35,68,82,88","",14,3,0,0,0,0,0,0,0,0,22,7,14,2,8,5,9,13,58,42,0.00,0.00,3.18,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.56,4.67,5.42,1.14,1.49,2.20,3.98,1.67,2.20,De Adelaarshorst
1534528800,Aug 17 2018 - 6:00pm,complete,9888,NEC,Cambuur,Christiaan Bax,1,0.00,0.00,1.84,1.37,2,2,4,1,1,0,"43,59","87,90'5",7,2,1,0,2,0,0,1,1,1,16,9,6,4,10,5,12,8,54,46,0.00,0.00,2.04,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,4.31,5.21,1.16,1.54,2.35,4.15,1.74,2.10,Goffertstadion
1534528800,Aug 17 2018 - 6:00pm,complete,7692,Roda JC,Ajax II,Edwin van de Graaf,1,0.00,0.00,1.63,1.16,2,1,3,1,1,0,"20,70","69",11,5,2,0,1,0,2,0,1,0,18,16,13,7,5,9,12,12,41,59,0.00,0.00,2.27,1.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,4.13,3.63,1.11,1.45,2.20,3.70,1.40,2.90,Parkstad Limburg Stadion
1534528800,Aug 17 2018 - 6:00pm,complete,27200,Twente,Sparta Rotterdam,Jochem Kamphuis,1,0.00,0.00,2.00,1.26,2,1,3,3,2,1,"10,40","16",5,5,1,0,4,0,1,0,1,3,15,16,8,6,7,10,11,16,51,49,0.00,0.00,1.75,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.22,3.78,3.12,1.18,1.61,2.50,0.00,1.51,2.55,De Grolsch Veste
1534528800,Aug 17 2018 - 6:00pm,complete,1523,PSV II,Eindhoven,Clay Ruperti,1,0.00,0.00,1.95,1.42,2,1,3,2,1,1,"45'1,57","7",2,6,0,0,2,0,0,0,0,2,10,12,6,3,4,9,12,13,55,45,0.00,0.00,1.35,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,4.35,4.28,1.09,1.33,1.87,3.40,1.49,2.60,Sportcomplex De Herdgang
1534788000,Aug 20 2018 - 6:00pm,complete,700,AZ II,Almere City,Freek Van Herk,1,0.00,0.00,0.95,1.42,2,3,5,3,0,3,"64,90'3","12,18,28",9,6,3,0,5,1,1,2,0,6,13,11,4,8,9,3,17,15,58,42,0.00,0.00,1.72,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.36,3.88,2.82,1.11,1.38,2.00,3.46,1.40,2.95,AFAS Trainingscomplex
1535133600,Aug 24 2018 - 6:00pm,complete,6422,Cambuur,AZ II,Christian Mulder,2,0.00,0.00,1.68,0.79,2,1,3,1,1,0,"27,74","73",9,5,3,0,1,0,1,2,1,0,9,7,5,3,4,4,8,9,47,53,0.00,0.00,1.36,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,4.66,5.19,1.11,1.39,2.00,3.58,1.56,2.45,Cambuurstadion
1535133600,Aug 24 2018 - 6:00pm,complete,9213,Sparta Rotterdam,Volendam,Edwin van de Graaf,2,0.00,0.00,2.37,0.95,2,0,2,0,0,0,"53,85","",11,2,0,0,1,0,0,0,1,0,8,5,3,2,5,3,10,4,51,49,0.00,0.00,1.15,0.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,4.38,5.43,1.12,1.43,2.05,3.92,1.67,2.25,Sparta-Stadion Het Kasteel
1535133600,Aug 24 2018 - 6:00pm,complete,3126,Den Bosch,RKC Waalwijk,Sander van der Eijk,2,0.00,0.00,1.84,1.47,2,3,5,2,1,1,"24,49","28,60,83",5,3,3,0,3,0,0,3,0,3,4,4,4,4,0,0,13,9,46,54,0.00,0.00,0.90,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.78,3.52,1.19,1.65,2.60,4.25,1.65,2.25,Stadion De Vliert
1535133600,Aug 24 2018 - 6:00pm,complete,2428,Oss,PSV II,Edgar Bijl,2,0.00,0.00,1.63,1.37,4,1,5,3,2,1,"11,12,53,72","30",2,6,3,0,1,0,2,1,0,1,9,13,7,8,2,5,9,10,43,57,0.00,0.00,1.30,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.72,3.88,2.43,1.14,1.49,2.25,3.82,1.49,2.65,Frans Heesen Stadion
