timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1502380800,Aug 10 2017 - 4:00pm,complete,1814,Al Fateh,Al Taawon,N/A,1,0.00,0.00,1.20,1.00,1,4,5,1,0,1,"81","20,57,59,85",0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,24,11,24,76,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Abdullah bin Jalawi Sports City Stadium
1502387700,Aug 10 2017 - 5:55pm,complete,9765,Al Hilal,Al Feiha,N/A,1,0.00,0.00,2.40,1.00,2,1,3,2,1,1,"37,78","31",9,0,2,0,6,0,1,1,2,4,31,7,12,5,19,2,14,24,63,37,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Fahd International Stadium
1502467200,Aug 11 2017 - 4:00pm,complete,655,Al Quadisiya,Al Raed,N/A,1,0.00,0.00,1.20,0.56,2,1,3,1,0,1,"55,84","22",2,3,1,0,2,0,0,1,0,2,19,9,7,7,12,2,8,14,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Saud bin Jalawi Stadium
1502474100,Aug 11 2017 - 5:55pm,complete,17018,Al Ittihad,Al Batin,N/A,1,0.00,0.00,0.89,1.40,1,3,4,1,0,1,"88","8,68,89",7,2,2,0,1,0,0,2,1,0,21,11,11,5,10,6,11,9,61,39,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Abdullah Sports City
1502474100,Aug 11 2017 - 5:55pm,complete,3722,Al Ittifaq,Al Ahli,N/A,1,0.00,0.00,1.25,1.70,2,1,3,0,0,0,"58,68","56",2,0,2,0,2,0,1,1,2,0,10,9,7,7,3,2,7,11,52,48,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Mohamed bin Fahd Stadium
1502554200,Aug 12 2017 - 4:10pm,complete,1034,Al Shabab,Ohod,N/A,1,0.00,0.00,1.11,0.75,1,2,3,1,0,1,"82","22,90",7,2,2,0,0,0,0,2,0,0,23,13,12,6,11,7,16,16,62,38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Faisal bin Fahd Stadium
1502560500,Aug 12 2017 - 5:55pm,complete,892,Al Faisaly,Al Nassr,N/A,1,0.00,0.00,1.56,1.20,1,3,4,3,0,3,"69","19,23,34",9,2,1,1,3,0,1,1,0,3,15,8,7,5,8,3,12,23,55,45,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Salman bin Abdulaziz Sport City Stadium
1502819400,Aug 15 2017 - 5:50pm,complete,8084,Al Taawon,Al Hilal,N/A,2,0.00,0.00,1.80,2.00,3,4,7,6,3,3,"26,35,45'1","14,21,38,56",5,6,2,0,5,0,0,2,1,4,6,10,6,6,0,4,14,12,42,58,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1502986800,Aug 17 2017 - 4:20pm,complete,2191,Al Raed,Al Faisaly,N/A,2,0.00,0.00,0.80,1.70,2,3,5,2,1,1,"45'2,84","25,75,82",8,9,1,0,0,0,0,1,0,0,7,12,3,6,4,6,13,8,51,49,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Abdullah bin Abdul Aziz Stadium (King Abdullah Sport City Stadium) (Buraydah (Buraidah))
1502992200,Aug 17 2017 - 5:50pm,complete,11980,Al Ahli,Al Fateh,N/A,2,0.00,0.00,2.56,1.44,4,0,4,3,3,0,"28,37,42,69","",5,2,0,0,3,0,0,0,1,2,15,9,7,6,8,3,11,9,66,34,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Abdullah Sports City
1503072900,Aug 18 2017 - 4:15pm,complete,3967,Al Batin,Ohod,N/A,2,0.00,3.00,0.78,0.75,2,0,2,1,1,0,"36,60","",8,4,2,0,1,0,2,0,1,0,9,7,6,4,3,3,17,13,55,45,0.00,0.00,0.00,0.00,1.50,50,50,50,0,0,0,50,50,50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Al-Batin FC Stadium
1503078600,Aug 18 2017 - 5:50pm,complete,7884,Al Nassr,Al Ittifaq,N/A,2,0.00,0.00,2.00,0.91,2,2,4,1,1,0,"15,51","65,90'3",5,8,3,0,1,0,1,2,0,1,17,19,7,10,10,9,14,15,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Fahd International Stadium
1503158700,Aug 19 2017 - 4:05pm,complete,904,Al Shabab,Al Quadisiya,N/A,2,0.00,0.00,1.11,0.56,4,1,5,3,2,1,"8,17,90,90'2","35",2,4,2,0,1,0,1,1,0,1,19,17,10,7,9,10,12,14,47,53,0.00,0.00,0.00,0.00,1.50,50,50,50,0,0,0,50,50,50,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Faisal bin Fahd Stadium
1503165000,Aug 19 2017 - 5:50pm,complete,1781,Al Feiha,Al Ittihad,N/A,2,0.00,0.00,1.70,1.90,2,5,7,2,1,1,"35,60","30,71,83,84,88",3,12,2,0,2,0,2,0,0,2,9,19,4,11,5,8,18,5,42,58,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Salman bin Abdulaziz Sport City Stadium
1505409900,Sep 14 2017 - 5:25pm,complete,1526,Al Ittifaq,Al Quadisiya,N/A,3,3.00,0.00,1.25,0.56,1,2,3,1,0,1,"60","6,90'3",6,4,2,0,3,0,1,1,1,2,12,13,11,11,1,2,18,13,58,42,0.00,0.00,0.00,0.00,4.00,100,100,100,50,50,50,50,100,100,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Mohamed bin Fahd Stadium
1505489100,Sep 15 2017 - 3:25pm,complete,871,Al Fateh,Al Raed,N/A,3,0.00,0.00,1.20,0.56,1,0,1,1,1,0,"37","",12,7,1,0,3,0,0,1,1,2,13,8,6,4,7,4,18,14,54,46,0.00,0.00,0.00,0.00,4.00,100,100,100,50,50,0,100,100,100,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Abdullah bin Jalawi Sports City Stadium
1505490000,Sep 15 2017 - 3:40pm,complete,767,Al Shabab,Al Batin,N/A,3,1.50,3.00,1.11,1.40,1,2,3,0,0,0,"90'1","60,85",7,10,1,0,2,0,0,1,0,2,19,14,12,7,7,7,16,14,49,51,0.00,0.00,0.00,0.00,4.00,100,100,100,75,25,25,100,100,100,6.50,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Faisal bin Fahd Stadium
1505496300,Sep 15 2017 - 5:25pm,complete,751,Al Faisaly,Al Ittihad,N/A,3,0.00,3.00,1.56,1.90,2,1,3,1,0,1,"49,68","18",4,8,0,0,2,0,0,0,0,2,12,11,8,5,4,6,16,10,47,53,0.00,0.00,0.00,0.00,5.50,100,100,100,100,50,100,100,50,100,21.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Salman bin Abdulaziz Sport City Stadium
1505576400,Sep 16 2017 - 3:40pm,complete,839,Al Feiha,Al Taawon,N/A,3,0.00,3.00,1.70,1.00,1,1,2,0,0,0,"65","87",0,0,6,0,3,0,1,5,1,2,0,0,0,0,0,0,19,19,50,50,0.00,0.00,0.00,0.00,6.00,100,100,100,100,100,50,100,100,100,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Salman bin Abdulaziz Sport City Stadium
1505582700,Sep 16 2017 - 5:25pm,complete,4479,Al Hilal,Ohod,N/A,3,3.00,1.50,2.40,0.75,1,0,1,0,0,0,"61","",3,1,2,0,3,0,0,2,1,2,2,0,2,0,0,0,17,12,63,37,0.00,0.00,0.00,0.00,2.75,75,100,75,0,0,50,100,25,100,12.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Faisal bin Fahd Stadium
1505669100,Sep 17 2017 - 5:25pm,complete,10108,Al Ahli,Al Nassr,N/A,3,3.00,3.00,2.56,1.20,1,1,2,1,1,0,"8","84",5,4,3,0,2,0,2,1,1,1,15,13,9,8,6,5,-1,-1,49,51,0.00,0.00,0.00,0.00,4.00,50,100,100,100,0,100,100,0,100,7.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Abdullah Sports City
1506014400,Sep 21 2017 - 5:20pm,complete,35389,Al Ittihad,Al Hilal,N/A,4,0.00,3.00,0.89,2.00,1,1,2,2,1,1,"12","45'3",6,3,3,0,1,0,1,2,0,1,11,16,5,11,6,5,14,15,36,64,0.00,0.00,0.00,0.00,5.50,100,100,100,100,50,50,100,50,100,13.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,King Abdullah Sports City
1506094500,Sep 22 2017 - 3:35pm,complete,6500,Al Batin,Al Ahli,N/A,4,3.00,0.00,0.78,1.70,1,2,3,2,1,1,"22","18,90'5",6,9,4,0,2,0,2,2,1,1,4,12,4,6,0,6,14,16,38,62,0.00,0.00,0.00,0.00,2.50,50,100,50,0,0,0,50,50,100,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Al-Batin FC Stadium
1506096000,Sep 22 2017 - 4:00pm,complete,1570,Ohod,Al Fateh,N/A,4,0.00,0.00,0.82,1.44,0,2,2,1,0,1,"","43,60",2,4,1,0,3,1,1,0,2,2,12,12,7,6,5,6,13,15,55,45,0.00,0.00,0.00,0.00,2.00,0,50,50,50,0,50,50,0,50,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Prince Mohammed bin Abdul Aziz Stadium
